"","Geo_Location","Date_Created"
"1004796","{type: Point, coordinates: [33.76333333, -84.31083333]}","Fri Feb 14 14:42:25 +0000 2020"
"1005345","{type: Point, coordinates: [19.55717, -71.07189]}","Fri Feb 14 14:57:57 +0000 2020"
"1009340","{type: Point, coordinates: [18.4596876, -69.9485084]}","Fri Feb 14 17:12:06 +0000 2020"
"1009347","{type: Point, coordinates: [18.4596876, -69.9485084]}","Fri Feb 14 17:12:06 +0000 2020"
"1011450","{type: Point, coordinates: [38.74751841, -9.09904258]}","Fri Feb 14 18:13:03 +0000 2020"
"1018206","{type: Point, coordinates: [45.75975883, -73.56725453]}","Fri Feb 14 21:43:33 +0000 2020"
"1022274","{type: Point, coordinates: [25.032966, 121.563107]}","Fri Feb 14 23:44:50 +0000 2020"
"1031225","{type: Point, coordinates: [22.30172446, 114.15571386]}","Sat Feb 15 04:16:36 +0000 2020"
"1032047","{type: Point, coordinates: [25.540505, -103.460398]}","Sat Feb 15 04:46:01 +0000 2020"
"1036862","{type: Point, coordinates: [13.76598429, 100.67705078]}","Sat Feb 15 07:03:05 +0000 2020"
"1045250","{type: Point, coordinates: [52.232222, 21.008333]}","Sat Feb 15 11:19:10 +0000 2020"
"1050292","{type: Point, coordinates: [8.96389499, 7.42936372]}","Sat Feb 15 13:50:32 +0000 2020"
"1064314","{type: Point, coordinates: [41.3854908, -75.7080613]}","Sat Feb 15 21:08:32 +0000 2020"
"1076560","{type: Point, coordinates: [8.47548224, 124.64199606]}","Sun Feb 16 03:38:45 +0000 2020"
"1080635","{type: Point, coordinates: [52.232222, 21.008333]}","Sun Feb 16 05:39:50 +0000 2020"
"1093086","{type: Point, coordinates: [24.68173114, 46.63285656]}","Sun Feb 16 11:57:32 +0000 2020"
"1094160","{type: Point, coordinates: [37.43724805, 126.45529747]}","Sun Feb 16 12:28:02 +0000 2020"
"1097543","{type: Point, coordinates: [-27.46860209, -58.83839607]}","Sun Feb 16 14:13:32 +0000 2020"
"1100368","{type: Point, coordinates: [-7.9652468, -34.843424]}","Sun Feb 16 15:44:02 +0000 2020"
"1102982","{type: Point, coordinates: [44.65863527, 10.89312389]}","Sun Feb 16 17:00:11 +0000 2020"
"1106012","{type: Point, coordinates: [31.288611, 34.251944]}","Sun Feb 16 18:43:29 +0000 2020"
