"","Geo_Location","Date_Created"
"699341","{type: Point, coordinates: [45.71673398, 4.96024087]}","Sun Mar 15 11:37:32 +0000 2020"
"700746","{type: Point, coordinates: [40.6259, 22.9589]}","Sun Mar 15 12:05:22 +0000 2020"
"704315","{type: Point, coordinates: [8.03771, -76.5171699]}","Sun Mar 15 13:07:30 +0000 2020"
"704535","{type: Point, coordinates: [38.7261, -9.1394]}","Sun Mar 15 13:19:39 +0000 2020"
"706569","{type: Point, coordinates: [6.2359, -75.5751]}","Sun Mar 15 13:50:03 +0000 2020"
"708627","{type: Point, coordinates: [54.6833, 25.2833]}","Sun Mar 15 14:20:02 +0000 2020"
"709058","{type: Point, coordinates: [14.5569, 121.029]}","Sun Mar 15 14:21:52 +0000 2020"
"709173","{type: Point, coordinates: [43.14468828, -72.86521255]}","Sun Mar 15 14:22:15 +0000 2020"
"709346","{type: Point, coordinates: [-6.1803, 106.8233]}","Sun Mar 15 14:22:40 +0000 2020"
"712501","{type: Point, coordinates: [-33.45, -70.6667]}","Sun Mar 15 15:08:20 +0000 2020"
"713080","{type: Point, coordinates: [10.9639, -74.7964]}","Sun Mar 15 15:21:52 +0000 2020"
"715806","{type: Point, coordinates: [51.4079, -1.27664]}","Sun Mar 15 16:05:47 +0000 2020"
"716586","{type: Point, coordinates: [52.3080143, 4.76553606]}","Sun Mar 15 16:08:42 +0000 2020"
"718082","{type: Point, coordinates: [7.7667, -72.2333]}","Sun Mar 15 16:36:52 +0000 2020"
"719856","{type: Point, coordinates: [34.11194, -118.19806]}","Sun Mar 15 17:06:09 +0000 2020"
"721428","{type: Point, coordinates: [38.74751841, -9.09904258]}","Sun Mar 15 17:23:02 +0000 2020"
"722299","{type: Point, coordinates: [34.06833855, -118.40761372]}","Sun Mar 15 17:37:45 +0000 2020"
"723171","{type: Point, coordinates: [36.0731, -79.7913]}","Sun Mar 15 17:52:20 +0000 2020"
"725038","{type: Point, coordinates: [18.4596876, -69.9485084]}","Sun Mar 15 18:21:33 +0000 2020"
"728359","{type: Point, coordinates: [38.6534, -90.5543]}","Sun Mar 15 19:08:01 +0000 2020"
"728564","{type: Point, coordinates: [45.5058399, -75.8120302]}","Sun Mar 15 19:08:44 +0000 2020"
"728743","{type: Point, coordinates: [40.41143, -3.69707]}","Sun Mar 15 19:09:07 +0000 2020"
"729295","{type: Point, coordinates: [10.26610715, -67.66067505]}","Sun Mar 15 19:22:38 +0000 2020"
"729940","{type: Point, coordinates: [41.25609871, 1.86049513]}","Sun Mar 15 19:24:50 +0000 2020"
"731105","{type: Point, coordinates: [38.01943652, -4.38359169]}","Sun Mar 15 19:51:57 +0000 2020"
"731673","{type: Point, coordinates: [34.81667, -87.68005]}","Sun Mar 15 19:54:06 +0000 2020"
"731856","{type: Point, coordinates: [38.34874119, -121.99587822]}","Sun Mar 15 19:54:47 +0000 2020"
"732642","{type: Point, coordinates: [-16.49027778, -39.075]}","Sun Mar 15 20:08:49 +0000 2020"
"733973","{type: Point, coordinates: [51.55110444, -3.34069639]}","Sun Mar 15 20:25:11 +0000 2020"
"734324","{type: Point, coordinates: [14.5864, 121.175]}","Sun Mar 15 20:37:40 +0000 2020"
"737039","{type: Point, coordinates: [40.21671523, -8.40951522]}","Sun Mar 15 21:10:34 +0000 2020"
"738468","{type: Point, coordinates: [44.6462, -63.5735]}","Sun Mar 15 21:38:29 +0000 2020"
"738537","{type: Point, coordinates: [41.402417, 2.163444]}","Sun Mar 15 21:38:30 +0000 2020"
"739799","{type: Point, coordinates: [41.96870765, -87.67920069]}","Sun Mar 15 21:54:34 +0000 2020"
"741052","{type: Point, coordinates: [49.28372, -123.12111]}","Sun Mar 15 22:10:46 +0000 2020"
"741570","{type: Point, coordinates: [33.31673933, -112.00542915]}","Sun Mar 15 22:23:52 +0000 2020"
"741744","{type: Point, coordinates: [40.75876195, -73.97902276]}","Sun Mar 15 22:24:16 +0000 2020"
"743131","{type: Point, coordinates: [33.7566, -84.3889]}","Sun Mar 15 22:40:43 +0000 2020"
"745203","{type: Point, coordinates: [29.9978, -90.1775]}","Sun Mar 15 23:10:55 +0000 2020"
"746723","{type: Point, coordinates: [43.49541, -80.53265]}","Sun Mar 15 23:39:10 +0000 2020"
"750067","{type: Point, coordinates: [-26.8130099, -65.1973]}","Mon Mar 16 00:25:31 +0000 2020"
"750314","{type: Point, coordinates: [30.2677, -97.7475]}","Mon Mar 16 00:26:15 +0000 2020"
"751544","{type: Point, coordinates: [33.76338, -84.35117]}","Mon Mar 16 00:42:00 +0000 2020"
"753178","{type: Point, coordinates: [-23.6238, -46.5697]}","Mon Mar 16 01:10:51 +0000 2020"
"754088","{type: Point, coordinates: [26.08466, -80.3711]}","Mon Mar 16 01:25:27 +0000 2020"
"754369","{type: Point, coordinates: [43.648, -79.3872]}","Mon Mar 16 01:26:27 +0000 2020"
"755556","{type: Point, coordinates: [-33.7979229, 151.2878055]}","Mon Mar 16 01:53:49 +0000 2020"
"759178","{type: Point, coordinates: [-12.1813, -77.0124]}","Mon Mar 16 02:40:56 +0000 2020"
"761999","{type: Point, coordinates: [35.22987, -80.92016]}","Mon Mar 16 03:25:15 +0000 2020"
"765313","{type: Point, coordinates: [34.0522, -118.243]}","Mon Mar 16 04:11:23 +0000 2020"
"768538","{type: Point, coordinates: [-22.87709, -43.37035]}","Mon Mar 16 04:57:03 +0000 2020"
"769848","{type: Point, coordinates: [43.67229508, -79.3209672]}","Mon Mar 16 05:13:23 +0000 2020"
"783964","{type: Point, coordinates: [22.76265065, -102.5382358]}","Mon Mar 16 08:43:44 +0000 2020"
"786707","{type: Point, coordinates: [-5.45, 105.266667]}","Mon Mar 16 09:27:54 +0000 2020"
"786981","{type: Point, coordinates: [53.74278115, -2.98321725]}","Mon Mar 16 09:28:58 +0000 2020"
"787738","{type: Point, coordinates: [-6.1803, 106.8233]}","Mon Mar 16 09:42:51 +0000 2020"
"795213","{type: Point, coordinates: [14.68923792, 120.99125147]}","Mon Mar 16 11:29:42 +0000 2020"
"797226","{type: Point, coordinates: [-22.903757, -43.0909786]}","Mon Mar 16 11:59:43 +0000 2020"
"797264","{type: Point, coordinates: [38.0284023, -1.1504037]}","Mon Mar 16 12:00:04 +0000 2020"
"798189","{type: Point, coordinates: [36.9, 30.6833]}","Mon Mar 16 12:14:45 +0000 2020"
"799349","{type: Point, coordinates: [4.63601761, -74.08367795]}","Mon Mar 16 12:30:33 +0000 2020"
"799775","{type: Point, coordinates: [41.3894, 2.1683]}","Mon Mar 16 12:43:17 +0000 2020"
"800192","{type: Point, coordinates: [12.90328294, 100.86936235]}","Mon Mar 16 12:44:44 +0000 2020"
