Tweet_ID,Hastag
1328442948829188099,#Covid19
1328442950464851968,#COVID19
1328442950540554249,#GreysAnatomy
1328442951605817346,#covid19
1328442952239128577,#antivax
1328442952239128577,#Covid19
1328442952671236100,#Wea
1328442954302836741,#sanitaire
1328442954302836741,#amendes
1328442954751512576,#FirstThem
1328442956987109376,#COVID19
1328442957159129090,#VIDEO
1328442957511344128,#COVID19
1328442957922385921,#BeYourOwnBeautiful
1328442957922385921,#ClothesHaveNoGender
1328442960313262081,#ADOS
1328442960657195008,#COV
1328442961089146881,#QAnons
1328442961089146881,#Trump
1328442961089146881,#FoxNews
1328442961412169741,#Win
1328442961412169741,#lockdown2
1328442961412169741,#competition
1328442961412169741,#giveaway
1328442961412169741,#toys
1328442961412169741,#RT
1328442961432965120,#COVID19
1328442961676431360,#Suarez
1328442961676431360,#Covid19
1328442961676431360,#LeBombeDiVlad
1328442961676431360,#LBDV
1328442961894359040,#COVID19
1328442966147469312,#polillas
1328442966147469312,#COVID19
1328442966457856000,#EnVenezuelaBrillaLaPaz
1328442966587928577,#Portugal
1328442966587928577,#GrandeBretagne
1328442966587928577,#France
1328442968873656321,#coronavirus
1328442968903217153,#stayathome
1328442968903217153,#WearAMask
1328442968978624520,#Wea
1328442969087729666,#Michigans
1328442969297444870,#AGRIFISH
1328442969297444870,#COVID19
1328442969297444870,#f
1328442971096756224,#AmericanEducationWeek
1328442974322241536,#WearAMask
1328442974322241536,#WhiteHouseKaren
1328442974322241536,#Lockdown2
1328442974590611456,#Schulen
1328442974863302662,#COVID19
1328442974863302662,#research
1328442975211442177,#COVID19
1328442975320346626,#HandOfTheQueen
1328442975320346626,#UNagenda2030
1328442975320346626,#TheGreatReset
1328442976947871745,#COVID19
1328442977354731532,#queensu
1328442977354731532,#COVID19
1328442977556033536,#HoCoMd
1328442977765761024,#COVID
1328442977765761024,#smallbiz
1328442977765761024,#goodjobs
1328442977765761024,#qualityjobs
1328442978017320960,#Michigans
1328442978185211904,#lockdown
1328442978185211904,#DemocratsAreDestroyingAmerica
1328442978185211904,#DemocratsAreCorrupt
1328442978185211904,#BidenIsRacist
1328442978185211904,#HunterBidensLaptop
1328442978462019585,#stepsforahealthycommunity
1328442978462019585,#stayhealthyketchikan
1328442978462019585,#ketchikanstaystrong
1328442982136238080,#Schülerinnen
1328442982211743744,#MedTwitter
1328442982211743744,#COVI
1328442982467571715,#Corona
1328442982467571715,#Spaß
1328442982467571715,#Erfindung
1328442982467571715,#Realität
1328442982467571715,#Virus
1328442982467571715,#StayHomeSaveLives
1328442982576492544,#HentaiKamen
1328442982836658177,#covid19
1328442983545499651,#COVID19
1328442983545499651,#chaos
1328442986603053056,#Sydneytrains
1328442987026599936,#covidzero
1328442987110674433,#COV
1328442987341344774,#Blunting
1328442987341344774,#StevenTaylor
1328442987668516864,#pfizer
